Regio's,Totaal recreatieterrein (ha),Totaal bos en open natuurlijk terrein (ha)
Aa en Hunze,569,6628
Aalburg,39,150
Aalsmeer,158,137
Aalten,171,420
Achtkarspelen,117,331
Alblasserdam,69,20
Albrandswaard,180,276
Alkmaar,525,171
Almelo,299,435
Almere,1513,3088
Alphen aan den Rijn,647,242
Alphen-Chaam,197,2047
Ameland,292,3112
Amersfoort,485,542
Amstelveen,582,467
Amsterdam,2701,496
Apeldoorn,1102,19542
Appingedam,58,62
Arnhem,1014,3621
Assen,716,1231
Asten,187,1561
Baarle-Nassau,165,870
Baarn,102,1645
Barendrecht,338,81
Barneveld,600,5320
Bedum,38,100
Beek (L.),47,67
Beemster,53,18
Beesel,80,422
Bellingwedde,146,424
Berg en Dal,346,2191
Bergeijk,263,2876
Bergen (L.),281,3896
Bergen (NH.),234,4463
Bergen op Zoom,373,2169
Berkelland,366,2251
Bernheze,187,1063
Best,185,744
Beuningen,170,184
Beverwijk,165,221
Het Bildt,58,579
De Bilt,261,1631
Binnenmaas,163,282
Bladel,229,2216
Blaricum,58,264
Bloemendaal,241,2533
Bodegraven-Reeuwijk,201,93
Boekel,51,134
Ten Boer,32,41
Borger-Odoorn,426,4061
Borne,91,154
Borsele,141,313
Boxmeer,175,1604
Boxtel,119,1716
Breda,613,1584
Brielle,314,61
Bronckhorst,491,3567
Brummen,176,1559
Brunssum,204,331
Bunnik,121,223
Bunschoten,61,19
Buren,421,308
Capelle aan den IJssel,281,3
Castricum,239,1542
Coevorden,643,3590
Cranendonck,108,2661
Cromstrijen,122,168
Cuijk,153,272
Culemborg,111,243
Dalfsen,226,1627
Dantumadiel,120,508
Delft,409,162
Delfzijl,268,680
Deurne,141,2734
Deventer,432,1584
Diemen,103,246
Dinkelland,219,1967
Doesburg,98,30
Doetinchem,294,803
Dongen,100,38
Dongeradeel,180,1414
Dordrecht,655,1602
Drechterland,129,31
Drimmelen,113,1720
Dronten,1077,3797
Druten,82,193
Duiven,128,25
Echt-Susteren,199,1478
Edam-Volendam,153,51
Ede,743,16837
Eemnes,76,89
Eemsmond,71,1315
Eersel,298,2094
Eijsden-Margraten,207,508
Eindhoven,959,1017
Elburg,144,2470
Emmen,963,3855
Enkhuizen,93,45
Enschede,898,2378
Epe,349,7234
Ermelo,421,5130
Etten-Leur,154,212
Ferwerderadiel,42,1613
Franekeradeel,112,53
De Fryske Marren,740,2630
Geertruidenberg,132,75
Geldermalsen,120,700
Geldrop-Mierlo,290,700
Gemert-Bakel,263,2993
Gennep,170,558
Giessenlanden,83,40
Gilze en Rijen,290,1562
Goeree-Overflakkee,811,4968
Goes,350,391
Goirle,105,1063
Gooise Meren,301,949
Gorinchem,158,56
Gouda,193,19
Grave,80,230
Den Haag,1326,1089
Groningen,783,306
Grootegast,109,111
Gulpen-Wittem,179,804
Haaksbergen,181,2220
Haaren,113,955
Haarlem,432,77
Haarlemmerliede en Spaarnwoude,172,279
Haarlemmermeer,1309,216
Halderberge,174,279
Hardenberg,625,2244
Harderwijk,246,1546
Hardinxveld-Giessendam,37,67
Haren,216,818
Harlingen,55,41
Hattem,102,445
Heemskerk,243,1044
Heemstede,69,143
Heerde,161,3036
Heerenveen,370,1569
Heerhugowaard,214,62
Heerlen,537,513
Heeze-Leende,158,5082
Heiloo,160,144
Den Helder,506,554
Hellendoorn,241,4189
Hellevoetsluis,222,220
Helmond,376,947
Hendrik-Ido-Ambacht,132,73
Hengelo (O.),309,785
Den Bosch,861,707
Heumen,75,995
Heusden,224,1546
Hillegom,53,18
Hilvarenbeek,382,2826
Hilversum,225,1955
Hof van Twente,403,3437
Hollands Kroon,399,942
Hoogeveen,379,1431
Hoogezand-Sappemeer,230,621
Hoorn,252,10
Horst aan de Maas,518,3587
Houten,218,199
Huizen,158,470
Hulst,166,2982
IJsselstein,80,49
Kaag en Braassem,117,44
Kampen,231,701
Kapelle,65,177
Katwijk,193,515
Kerkrade,275,178
Koggenland,189,55
Kollumerland en Nieuwkruisland,124,1590
Korendijk,55,1118
Krimpen aan den IJssel,114,32
Krimpenerwaard,243,355
Laarbeek,198,559
Landerd,160,1631
Landgraaf,239,393
Landsmeer,190,293
Langedijk,162,98
Lansingerland,447,209
Laren (NH.),35,659
Leek,111,235
Leerdam,52,150
Leeuwarden,633,1138
Leeuwarderadeel,52,65
Leiden,350,16
Leiderdorp,108,11
Leidschendam-Voorburg,280,150
Lelystad,918,7149
Leudal,287,2877
Leusden,174,2047
Lingewaal,125,377
Lingewaard,157,153
Lisse,123,153
Littenseradiel,39,13
Lochem,389,3456
Loon op Zand,304,1781
Lopik,54,92
Loppersum,44,100
Losser,130,1809
Maasdriel,139,141
Maasgouw,349,641
Maassluis,123,32
Maastricht,545,261
De Marne,217,3663
Marum,61,158
Medemblik,387,129
Meerssen,91,325
Meierijstad,407,1665
Menameradiel,82,38
Menterwolde,108,295
Meppel,152,148
Middelburg (Z.),286,184
Midden-Delfland,213,122
Midden-Drenthe,447,6277
Mill en Sint Hubert,73,863
Moerdijk,304,609
Molenwaard,88,286
Montferland,168,1830
Montfoort,38,82
Mook en Middelaar,69,670
Neder-Betuwe,95,100
Nederweert,52,1831
Neerijnen,43,280
Nieuwegein,377,96
Nieuwkoop,191,787
Nijkerk,189,575
Nijmegen,593,246
Nissewaard,497,621
Noord-Beveland,371,526
Noordenveld,400,5049
Noordoostpolder,514,2497
Noordwijk,248,1901
Noordwijkerhout,189,194
"Nuenen, Gerwen en Nederwetten",151,550
Nunspeet,457,8547
Nuth,50,136
Oegstgeest,100,22
Oirschot,155,3254
Oisterwijk,211,1751
Oldambt,297,1673
Oldebroek,135,3021
Oldenzaal,170,225
Olst-Wijhe,87,898
Ommen,561,5150
Onderbanken,37,418
Oost Gelre,218,548
Oosterhout,432,1425
Ooststellingwerf,313,4462
Oostzaan,177,214
Opmeer,70,26
Opsterland,248,2959
Oss,533,915
Oud-Beijerland,79,3
Oude IJsselstreek,218,621
Ouder-Amstel,223,38
Oudewater,49,26
Overbetuwe,282,257
Papendrecht,121,44
Peel en Maas,354,2625
Pekela,88,143
Pijnacker-Nootdorp,171,358
Purmerend,355,284
Putten,313,2786
Raalte,275,1407
Reimerswaal,142,951
Renkum,239,1747
Renswoude,40,114
Reusel-De Mierden,146,2341
Rheden,187,4163
Rhenen,93,1381
Ridderkerk,270,43
Rijnwaarden,99,263
Rijssen-Holten,279,2437
Rijswijk (ZH.),422,4
Roerdalen,206,2791
Roermond,380,943
De Ronde Venen,356,241
Roosendaal,292,673
Rotterdam,2536,765
Rozendaal,21,2621
Rucphen,84,1278
Schagen,640,1158
Scherpenzeel,41,162
Schiedam,306,53
Schiermonnikoog,78,3844
Schinnen,74,188
Schouwen-Duiveland,1215,3983
Simpelveld,47,36
Sint Anthonis,148,1447
Sint-Michielsgestel,138,426
Sittard-Geleen,457,397
Sliedrecht,61,2
Slochteren,145,996
Sluis,695,697
Smallingerland,294,585
Soest,133,1793
Someren,148,1658
Son en Breugel,74,487
Stadskanaal,249,661
Staphorst,114,1172
Stede Broec,172,33
Steenbergen,121,838
Steenwijkerland,489,7254
Stein (L.),162,105
Stichtse Vecht,399,485
Strijen,53,323
Súdwest-Fryslân,843,1351
Terneuzen,361,1217
Terschelling,198,6926
Texel,614,4782
Teylingen,212,76
Tholen,177,1157
Tiel,149,24
Tilburg,797,1906
Tubbergen,152,1134
Twenterand,129,1223
Tynaarlo,303,1519
Tytsjerksteradiel,286,1046
Uden,242,813
Uitgeest,62,62
Uithoorn,129,13
Urk,73,205
Utrecht,1277,189
Utrechtse Heuvelrug,626,6138
Vaals,89,587
Valkenburg aan de Geul,116,552
Valkenswaard,224,1895
Veendam,367,51
Veenendaal,142,57
Veere,822,1804
Veldhoven,235,467
Velsen,765,1449
Venlo,600,2904
Venray,250,3028
Vianen,129,384
Vlaardingen,481,284
Vlagtwedde,228,1437
Vlieland,72,4038
Vlissingen,194,151
Voerendaal,95,81
Voorschoten,121,68
Voorst,310,903
Vught,222,593
Waalre,41,830
Waalwijk,201,121
Waddinxveen,135,46
Wageningen,121,540
Wassenaar,425,2649
Waterland,93,121
Weert,307,2432
Weesp,60,73
Werkendam,178,1541
West Maas en Waal,200,292
Westerveld,551,10657
Westervoort,46,13
Westland,259,531
Weststellingwerf,208,2350
Westvoorne,201,1703
Wierden,214,1024
Wijchen,302,535
Wijdemeren,284,1137
Wijk bij Duurstede,112,436
Winsum,78,28
Winterswijk,363,1991
Woensdrecht,154,3682
Woerden,204,69
De Wolden,248,2526
Wormerland,128,52
Woudenberg,110,917
Woudrichem,151,171
Zaanstad,469,354
Zaltbommel,181,508
Zandvoort,226,2651
Zederik,78,284
Zeewolde,757,5565
Zeist,322,2216
Zevenaar,368,101
Zoetermeer,673,47
Zoeterwoude,29,15
Zuidhorn,180,57
Zuidplas,262,169
Zundert,206,1595
Zutphen,235,630
Zwartewaterland,90,494
Zwijndrecht,296,81
Zwolle,674,438
